Date,RELIANCE.NS,TCS.NS,INFY.NS,HDFCBANK.NS,ICICIBANK.NS,HINDUNILVR.NS,ITC.NS,SBIN.NS,BHARTIARTL.NS,KOTAKBANK.NS,LT.NS,ASIANPAINT.NS,AXISBANK.NS,BAJFINANCE.NS,HCLTECH.NS,MARUTI.NS,TITAN.NS,ULTRACEMCO.NS,SUNPHARMA.NS,WIPRO.NS,HDFCLIFE.NS,POWERGRID.NS,TECHM.NS,NTPC.NS,GRASIM.NS,ADANIENT.NS,INDUSINDBK.NS,JSWSTEEL.NS,TATASTEEL.NS,CIPLA.NS,DRREDDY.NS,SBILIFE.NS,HINDALCO.NS,DIVISLAB.NS,BAJAJFINSV.NS,TATAMOTORS.NS,HEROMOTOCO.NS,COALINDIA.NS,BPCL.NS,ONGC.NS,APOLLOHOSP.NS,EICHERMOT.NS,BAJAJ-AUTO.NS,UPL.NS,M&M.NS,ADANIPORTS.NS,BRITANNIA.NS,SHREECEM.NS,NESTLEIND.NS,DLF.NS,VEDL.NS
2024-02-14 00:00:00+05:30,1476.3642578125,4041.568115234375,1624.359619140625,1365.40478515625,1013.970947265625,2355.52978515625,398.0939636230469,731.1390380859375,1109.666015625,1747.03515625,3283.191162109375,2942.83349609375,1096.004150390625,6613.30029296875,1615.26611328125,10924.76171875,3573.85595703125,9730.09765625,1506.5146484375,252.23782348632812,583.3660888671875,260.111328125,1258.0823974609375,320.936279296875,2071.83837890625,3205.9072265625,1465.2332763671875,806.928955078125,138.41131591796875,1413.3660888671875,1214.8277587890625,1451.0933837890625,504.90557861328125,3696.95947265625,1578.7039794921875,915.4749145507812,4587.01416015625,433.8507385253906,296.29229736328125,251.6261444091797,6728.14013671875,3858.794677734375,8018.13427734375,480.531982421875,1645.0052490234375,1262.4334716796875,4946.2685546875,26797.408203125,2453.57763671875,839.005126953125,254.2894744873047
2024-02-15 00:00:00+05:30,1465.6256103515625,4044.623779296875,1634.2547607421875,1395.000732421875,1007.9725952148438,2318.933837890625,390.694091796875,749.13720703125,1114.4891357421875,1737.3458251953125,3274.55908203125,2982.53076171875,1071.3731689453125,6586.33544921875,1606.6171875,10986.478515625,3610.23681640625,9756.44140625,1496.110595703125,254.1988525390625,583.116943359375,272.19158935546875,1265.3316650390625,331.9440002441406,2076.819091796875,3192.5126953125,1460.733154296875,806.0359497070312,138.41131591796875,1410.3912353515625,1213.7213134765625,1450.744140625,510.27484130859375,3686.225341796875,1568.4105224609375,917.7179565429688,4589.77734375,443.6190185546875,310.1175231933594,259.5347595214844,6602.12646484375,3873.63037109375,8057.5634765625,486.47125244140625,1752.22021484375,1261.636962890625,4886.94091796875,26233.984375,2427.409423828125,846.5619506835938,243.65052795410156
2024-02-16 00:00:00+05:30,1455.634521484375,4069.365478515625,1658.91943359375,1400.7718505859375,1014.5162353515625,2343.00244140625,391.3712158203125,742.252685546875,1113.7930908203125,1733.3502197265625,3360.334716796875,2973.97802734375,1067.92578125,6586.13720703125,1611.3521728515625,11273.9140625,3643.47802734375,9857.7412109375,1496.1600341796875,266.2101745605469,590.4420776367188,265.3299865722656,1267.4725341796875,330.476318359375,2097.58935546875,3222.300537109375,1477.2498779296875,813.576904296875,139.48960876464844,1428.5869140625,1226.2415771484375,1505.7452392578125,512.7605590820312,3706.451171875,1574.9063720703125,935.7124633789062,4663.4794921875,446.54949951171875,310.9964294433594,260.8642883300781,6575.18017578125,3885.59765625,8257.935546875,490.0148620605469,1822.207763671875,1301.266845703125,4850.56494140625,26199.21484375,2461.14599609375,858.394287109375,242.6048126220703
2024-02-19 00:00:00+05:30,1469.01416015625,4045.21533203125,1657.0672607421875,1398.009521484375,1034.84130859375,2354.74072265625,395.8691711425781,746.7276000976562,1135.8699951171875,1729.5045166015625,3313.80078125,2964.288818359375,1062.1302490234375,6679.26904296875,1618.8897705078125,11375.900390625,3682.998779296875,9843.8232421875,1516.1260986328125,262.7538757324219,583.2166137695312,267.0695495605469,1274.7218017578125,331.45477294921875,2160.29833984375,3257.486328125,1467.3101806640625,813.824951171875,139.14651489257812,1457.9876708984375,1245.6529541015625,1486.180419921875,509.37994384765625,3700.736328125,1619.1285400390625,929.7308959960938,4623.74609375,428.87359619140625,310.0224914550781,260.8168029785156,6631.56298828125,3860.08056640625,8441.0966796875,496.6528625488281,1835.11328125,1301.416259765625,4861.96630859375,26714.5703125,2486.473388671875,843.77783203125,245.65101623535156
2024-02-20 00:00:00+05:30,1466.04931640625,3973.109375,1642.9312744140625,1434.70849609375,1039.798583984375,2371.460693359375,392.8221740722656,747.5635986328125,1137.6102294921875,1760.5704345703125,3330.56884765625,2977.685791015625,1087.760498046875,6729.8154296875,1607.100341796875,11339.345703125,3674.676025390625,9920.12109375,1524.6474609375,260.7928466796875,585.9573364257812,278.2316589355469,1284.98779296875,338.255126953125,2183.85791015625,3227.298583984375,1487.6839599609375,814.8171997070312,138.26429748535156,1439.4449462890625,1237.6650390625,1510.836181640625,508.6839599609375,3690.1015625,1601.83935546875,923.5001220703125,4443.42138671875,420.1690673828125,312.4217224121094,262.6685791015625,6739.54443359375,3786.149658203125,8228.326171875,497.1519470214844,1840.1761474609375,1294.944091796875,4857.9189453125,26425.263671875,2512.3447265625,858.990966796875,245.65101623535156
2024-02-21 00:00:00+05:30,1462.7354736328125,3934.518310546875,1613.9771728515625,1419.7625732421875,1042.97119140625,2374.420166015625,390.1620788574219,758.7755737304688,1133.582763671875,1744.1883544921875,3270.689453125,2967.947021484375,1083.3638916015625,6655.38916015625,1581.2503662109375,11358.5634765625,3644.425048828125,9909.6337890625,1529.3045654296875,255.62062072753906,575.492919921875,270.6936340332031,1261.6827392578125,328.8618469238281,2185.60107421875,3221.900634765625,1500.5908203125,821.8123779296875,141.05799865722656,1435.131591796875,1232.453125,1499.00732421875,508.8827819824219,3626.83984375,1585.9493408203125,918.2164306640625,4391.611328125,407.41815185546875,300.8294372558594,259.2024230957031,6740.24169921875,3794.309326171875,8165.88330078125,491.2626037597656,1846.132568359375,1285.484619140625,4859.7451171875,26246.0390625,2516.500244140625,881.8104858398438,245.51463317871094
2024-02-22 00:00:00+05:30,1476.7379150390625,4028.75341796875,1639.129150390625,1400.4266357421875,1053.6295166015625,2355.677978515625,400.899169921875,753.2679443359375,1129.2569580078125,1722.8616943359375,3337.51416015625,2983.37109375,1100.051025390625,6641.6083984375,1629.664794921875,11548.7177734375,3640.13916015625,9902.4755859375,1543.82080078125,260.3515930175781,572.702392578125,273.10968017578125,1292.3343505859375,332.2375183105469,2192.7734375,3261.734619140625,1472.79931640625,822.2092895507812,143.01849365234375,1441.0811767578125,1235.3260498046875,1506.9432373046875,518.1795654296875,3623.162353515625,1591.5458984375,929.4318237304688,4353.1650390625,418.898681640625,297.36126708984375,260.8642883300781,6749.265625,3908.098388671875,8429.9375,491.4123229980469,1896.4639892578125,1305.349365234375,4893.25927734375,26503.41796875,2535.841796875,887.1798095703125,246.8786163330078
2024-02-23 00:00:00+05:30,1488.57275390625,3994.25341796875,1634.7421875,1401.46240234375,1052.241455078125,2361.596435546875,397.9488525390625,746.5308837890625,1119.51123046875,1722.112548828125,3361.525390625,2952.275634765625,1095.9542236328125,6664.39404296875,1609.70947265625,11427.6611328125,3679.908935546875,9941.9423828125,1546.9915771484375,262.8519287109375,578.7318725585938,272.48150634765625,1286.6419677734375,330.476318359375,2185.99951171875,3271.98046875,1464.0465087890625,814.6187133789062,142.577392578125,1454.0709228515625,1250.5057373046875,1526.408203125,515.3954467773438,3625.845947265625,1615.53076171875,934.5161743164062,4376.50390625,417.7223815917969,293.5842590332031,258.4902038574219,6754.10107421875,3884.015380859375,8368.93359375,487.81884765625,1915.92138671875,1315.0577392578125,4872.923828125,26390.14453125,2551.52294921875,894.1400146484375,244.0142822265625
2024-02-26 00:00:00+05:30,1482.2940673828125,3943.931884765625,1618.461669921875,1403.1395263671875,1045.2020263671875,2371.608642578125,395.82080078125,746.3834228515625,1103.898193359375,1704.4320068359375,3443.084228515625,2836.100830078125,1084.363037109375,6610.06640625,1594.2960205078125,11359.703125,3610.685302734375,9871.5087890625,1542.7308349609375,261.2585754394531,574.3966064453125,278.135009765625,1263.288330078125,330.3295593261719,2178.5283203125,3326.408447265625,1450.39794921875,802.4639282226562,139.8326873779297,1457.491943359375,1250.2340087890625,1546.372314453125,502.1712646484375,3555.527587890625,1613.2822265625,934.0675659179688,4354.08544921875,416.2167663574219,297.9551086425781,256.258544921875,6564.6103515625,3909.63134765625,8379.89453125,488.26800537109375,1915.7725830078125,1332.4332275390625,4838.916015625,26001.658203125,2556.37060546875,897.7693481445312,241.1953887939453
2024-02-27 00:00:00+05:30,1480.624755859375,4045.806640625,1621.824951171875,1401.0185546875,1051.1507568359375,2372.64453125,397.70703125,737.482666015625,1121.25146484375,1704.8814697265625,3479.10107421875,2827.30126953125,1078.2178955078125,6523.5009765625,1602.9932861328125,11393.0390625,3641.933349609375,9892.4345703125,1568.295166015625,260.5476989746094,579.6287841796875,282.67718505859375,1261.1475830078125,328.8618469238281,2196.35986328125,3300.96875,1476.656494140625,812.5846557617188,141.35206604003906,1474.94384765625,1251.951904296875,1539.933837890625,506.74505615234375,3518.20654296875,1599.5908203125,959.7383422851562,4290.12158203125,415.36981201171875,296.9574279785156,255.78372192382812,6601.10302734375,3958.8857421875,8395.26953125,483.7262268066406,1936.42138671875,1323.770263671875,4841.3349609375,26092.916015625,2571.012939453125,911.192626953125,239.9678192138672
